Country,Date of Admission,Year,AverageTemperature,Standard Deviation
algeria,8-Oct-62,1969,23.45825,7.368455952
algeria,8-Oct-62,1970,23.32283333,7.589407497
algeria,8-Oct-62,1971,22.67225,7.86324489
algeria,8-Oct-62,1972,22.69816667,7.967756281
algeria,8-Oct-62,1973,22.88616667,8.665595461
algeria,8-Oct-62,1974,22.541,8.211487297
algeria,8-Oct-62,1975,22.71641667,8.014830168
algeria,8-Oct-62,1976,22.35675,8.156492808
algeria,8-Oct-62,1977,23.54608333,7.46312275
algeria,8-Oct-62,1978,23.16183333,7.357434729
algeria,8-Oct-62,1979,23.39683333,7.669249659
algeria,8-Oct-62,1980,23.16016667,8.079012832
algeria,8-Oct-62,1981,23.57925,8.13334042
algeria,8-Oct-62,1982,23.09416667,8.330021487
algeria,8-Oct-62,1983,23.683,8.405888099
algeria,8-Oct-62,1984,23.06308333,8.228468613
algeria,8-Oct-62,1985,23.52625,7.989021924
algeria,8-Oct-62,1986,23.25666667,8.389352086
algeria,8-Oct-62,1987,24.24775,8.064015908
algeria,8-Oct-62,1988,23.81566667,8.336476772
algeria,8-Oct-62,1989,23.72433333,7.972073613
algeria,8-Oct-62,1990,24.01441667,8.131922365
algeria,8-Oct-62,1991,23.01108333,8.287313892
algeria,8-Oct-62,1992,22.767,7.907386409
algeria,8-Oct-62,1993,23.45083333,8.470216084
algeria,8-Oct-62,1994,23.64208333,8.245928334
algeria,8-Oct-62,1995,23.7225,8.185726419
algeria,8-Oct-62,1996,23.73433333,7.548266271
algeria,8-Oct-62,1997,23.95516667,7.93865333
algeria,8-Oct-62,1998,23.92058333,8.364303584
algeria,8-Oct-62,1999,24.29941667,9.022768538
algeria,8-Oct-62,2000,24.03225,8.226328841
algeria,8-Oct-62,2001,24.72441667,8.209804155
algeria,8-Oct-62,2002,24.263,8.080024077
algeria,8-Oct-62,2003,24.39366667,8.448108302
algeria,8-Oct-62,2004,23.916,7.794474127
algeria,8-Oct-62,2005,24.22258333,8.718651829
algeria,8-Oct-62,2006,24.20083333,8.368867251
algeria,8-Oct-62,2007,24.06533333,7.960381893
algeria,8-Oct-62,2008,23.95025,8.461977065
algeria,8-Oct-62,2009,24.15433333,7.927140873
algeria,8-Oct-62,2010,25.21566667,7.227606989
algeria,8-Oct-62,2011,24.14416667,8.112045643
algeria,8-Oct-62,2012,23.95483333,8.797358155
algeria,8-Oct-62,2013,25.1215,8.529039052
andorra,28-Jul-93,1960,11.88772727,5.507130489
andorra,28-Jul-93,1961,12.2615,5.63039599
andorra,28-Jul-93,1962,11.07933333,6.527925528
andorra,28-Jul-93,1963,10.63616667,6.415536424
andorra,28-Jul-93,1964,11.54108333,6.664812477
andorra,28-Jul-93,1965,11.02591667,5.894555261
andorra,28-Jul-93,1966,11.58475,5.61458374
andorra,28-Jul-93,1967,11.60691667,6.20882752
andorra,28-Jul-93,1968,11.4365,5.533808938
andorra,28-Jul-93,1969,10.88483333,6.039362863
andorra,28-Jul-93,1970,11.37658333,6.297260147
andorra,28-Jul-93,1971,11.19216667,6.469567975
andorra,28-Jul-93,1972,10.741,4.995844109
andorra,28-Jul-93,1973,11.17658333,6.560822724
andorra,28-Jul-93,1974,11.07733333,5.493912455
andorra,28-Jul-93,1975,11.24775,5.95001004
andorra,28-Jul-93,1976,11.3045,6.239416006
andorra,28-Jul-93,1977,11.13433333,4.79215623
andorra,28-Jul-93,1978,11.04075,5.552893384
andorra,28-Jul-93,1979,11.30175,5.900330563
andorra,28-Jul-93,1980,10.7725,5.963873459
andorra,28-Jul-93,1981,11.546,5.823817164
andorra,28-Jul-93,1982,12.18516667,5.974127336
andorra,28-Jul-93,1983,11.99175,6.496113917
andorra,28-Jul-93,1984,11.03275,5.829702287
andorra,28-Jul-93,1985,11.32541667,6.87479763
andorra,28-Jul-93,1986,11.6235,6.412330246
andorra,28-Jul-93,1987,11.68025,6.51259027
andorra,28-Jul-93,1988,11.97391667,5.788508513
andorra,28-Jul-93,1989,12.58508333,5.955176731
andorra,28-Jul-93,1990,12.45558333,6.340115119
andorra,28-Jul-93,1991,11.56541667,6.578226004
andorra,28-Jul-93,1992,11.49841667,6.021377817
andorra,28-Jul-93,1993,11.43216667,5.848780554
andorra,28-Jul-93,1994,12.63225,6.185636796
andorra,28-Jul-93,1995,12.37641667,5.78867409
andorra,28-Jul-93,1996,11.74141667,5.590004675
andorra,28-Jul-93,1997,12.89616667,5.528725035
andorra,28-Jul-93,1998,12.11875,6.020798846
andorra,28-Jul-93,1999,12.17866667,6.429628949
andorra,28-Jul-93,2000,12.31191667,5.743941385
andorra,28-Jul-93,2001,12.21608333,6.338204728
andorra,28-Jul-93,2002,12.31958333,5.075386514
andorra,28-Jul-93,2003,12.90066667,7.334104126
andorra,28-Jul-93,2004,12.043,6.446006361
andorra,28-Jul-93,2005,11.64341667,7.181867881
andorra,28-Jul-93,2006,12.83433333,6.812007585
andorra,28-Jul-93,2007,12.15525,5.672785737
andorra,28-Jul-93,2008,11.97858333,5.833120441
andorra,28-Jul-93,2009,12.56666667,6.664234326
andorra,28-Jul-93,2010,11.48083333,6.753525555
andorra,28-Jul-93,2011,12.99441667,5.831255447
andorra,28-Jul-93,2012,12.33991667,6.649739263
andorra,28-Jul-93,2013,12.307875,6.951843855
angola,1-Dec-76,1960,21.85027273,1.857778894
angola,1-Dec-76,1961,21.93875,1.654104434
angola,1-Dec-76,1962,21.84866667,1.739892282
angola,1-Dec-76,1963,21.83775,1.617563832
angola,1-Dec-76,1964,21.68641667,1.947012745
angola,1-Dec-76,1965,21.81991667,1.664591321
angola,1-Dec-76,1966,22.10325,1.519987507
angola,1-Dec-76,1967,21.77641667,1.638942312
angola,1-Dec-76,1968,21.74816667,1.775908926
angola,1-Dec-76,1969,22.1905,1.674560702
angola,1-Dec-76,1970,22.14983333,1.649101509
angola,1-Dec-76,1971,21.837,1.513318989
angola,1-Dec-76,1972,22.011,1.738767902
angola,1-Dec-76,1973,22.34966667,1.749378608
angola,1-Dec-76,1974,21.6235,1.626069466
angola,1-Dec-76,1975,21.73891667,1.628832681
angola,1-Dec-76,1976,21.44741667,1.760746973
angola,1-Dec-76,1977,21.95075,1.627668557
angola,1-Dec-76,1978,21.817,1.725801948
angola,1-Dec-76,1979,22.14475,1.717340604
angola,1-Dec-76,1980,22.07758333,1.862977746
angola,1-Dec-76,1981,22.02791667,1.886140381
angola,1-Dec-76,1982,21.82,1.894700264
angola,1-Dec-76,1983,22.36725,1.936050813
angola,1-Dec-76,1984,22.35616667,1.526679631
angola,1-Dec-76,1985,22.02183333,1.718433316
angola,1-Dec-76,1986,22.03625,1.472682038
angola,1-Dec-76,1987,22.74991667,1.86436928
angola,1-Dec-76,1988,22.41233333,1.667258137
angola,1-Dec-76,1989,22.12216667,1.690349175
angola,1-Dec-76,1990,22.46641667,1.522761454
angola,1-Dec-76,1991,22.09541667,1.384342736
angola,1-Dec-76,1992,22.49858333,1.9448393
angola,1-Dec-76,1993,22.291,1.521511808
angola,1-Dec-76,1994,22.18941667,2.01902886
angola,1-Dec-76,1995,22.93616667,1.6896651
angola,1-Dec-76,1996,22.47925,1.79233155
angola,1-Dec-76,1997,22.31716667,1.583420913
angola,1-Dec-76,1998,23.12016667,1.695152813
angola,1-Dec-76,1999,22.38208333,1.33618347
angola,1-Dec-76,2000,22.36066667,1.544026221
angola,1-Dec-76,2001,22.50291667,1.584545272
angola,1-Dec-76,2002,22.9255,1.4315611
angola,1-Dec-76,2003,23.06658333,1.523980163
angola,1-Dec-76,2004,22.57283333,1.937334337
angola,1-Dec-76,2005,22.96608333,1.663934683
angola,1-Dec-76,2006,21.94708333,1.478241059
angola,1-Dec-76,2007,22.42708333,1.847305677
angola,1-Dec-76,2008,22.28733333,1.680657573
angola,1-Dec-76,2009,22.3165,1.618012052
angola,1-Dec-76,2010,22.6815,1.575500873
angola,1-Dec-76,2011,22.02966667,1.697812889
angola,1-Dec-76,2012,22.12333333,1.826963618
angola,1-Dec-76,2013,22.507875,2.015271158
antigua and barbuda,11-Nov-81,1960,27.09836364,1.091814203
antigua and barbuda,11-Nov-81,1961,26.73091667,1.083354173
antigua and barbuda,11-Nov-81,1962,26.73675,1.261454076
antigua and barbuda,11-Nov-81,1963,26.89116667,1.133508298
antigua and barbuda,11-Nov-81,1964,26.70908333,1.195943709
antigua and barbuda,11-Nov-81,1965,26.42166667,1.165422306
antigua and barbuda,11-Nov-81,1966,26.59166667,1.030541546
antigua and barbuda,11-Nov-81,1967,26.34266667,1.221619293
antigua and barbuda,11-Nov-81,1968,26.41691667,1.379522148
antigua and barbuda,11-Nov-81,1969,26.88191667,1.285290661
antigua and barbuda,11-Nov-81,1970,26.73858333,0.966150041
antigua and barbuda,11-Nov-81,1971,26.39141667,1.150771003
antigua and barbuda,11-Nov-81,1972,26.55,1.220325962
antigua and barbuda,11-Nov-81,1973,26.87325,1.221519257
antigua and barbuda,11-Nov-81,1974,26.34,1.212459559
antigua and barbuda,11-Nov-81,1975,26.33541667,1.35944243
antigua and barbuda,11-Nov-81,1976,26.26766667,1.534507995
antigua and barbuda,11-Nov-81,1977,26.85191667,1.089546816
antigua and barbuda,11-Nov-81,1978,26.8615,1.063872899
antigua and barbuda,11-Nov-81,1979,26.65566667,1.185347769
antigua and barbuda,11-Nov-81,1980,27.11841667,1.280589385
antigua and barbuda,11-Nov-81,1981,27.05766667,1.034781078
antigua and barbuda,11-Nov-81,1982,26.681,1.218100309
antigua and barbuda,11-Nov-81,1983,27.07925,1.166261169
antigua and barbuda,11-Nov-81,1984,26.61875,1.092762398
antigua and barbuda,11-Nov-81,1985,26.61816667,1.281907799
antigua and barbuda,11-Nov-81,1986,26.70925,1.231397294
antigua and barbuda,11-Nov-81,1987,27.22058333,1.257258812
antigua and barbuda,11-Nov-81,1988,26.953,1.185415769
antigua and barbuda,11-Nov-81,1989,26.6865,1.271012302
antigua and barbuda,11-Nov-81,1990,26.93466667,1.321047197
antigua and barbuda,11-Nov-81,1991,26.89566667,1.265646607
antigua and barbuda,11-Nov-81,1992,26.89475,1.125229037
antigua and barbuda,11-Nov-81,1993,26.95616667,1.247998312
antigua and barbuda,11-Nov-81,1994,26.94608333,1.105591364
antigua and barbuda,11-Nov-81,1995,27.38033333,1.290937245
antigua and barbuda,11-Nov-81,1996,26.94233333,1.038224125
antigua and barbuda,11-Nov-81,1997,27.28933333,1.347839843
antigua and barbuda,11-Nov-81,1998,27.60175,1.113385837
antigua and barbuda,11-Nov-81,1999,27.13175,1.388625882
